"09-09-2017","Meurtres dans les Landes","France 3","20h55","19.7%"
"09-09-2017","Fort Boyard","France 2","21h05","13.0%"
"09-09-2017","Bones","M6","21h00","7.8%"
"09-09-2017","Représailles","C8","21h00","4.4%"
"09-09-2017","Echappées belles","France 5","20h50","3.9%"
"09-09-2017","Un jour au Royaume-Uni","ARTE","20h50","2.9%"
"09-09-2017","Les Simpson","W9","21h00","2.3%"
"09-09-2017","Chroniques criminelles","TFX","21h00","2.2%"
"09-09-2017","Les experts : Manhattan","TMC","21h00","1.5%"
"09-09-2017","Rénovation impossible","6ter","21h00","1.3%"
"09-09-2017","Les Insus-portables : la story de la tournée","CSTAR","20h50","1.2%"
"09-09-2017","Aventures sauvages","France 4","20h55","1.1%"
"09-09-2017","Barbie et ses soeurs : La grande aventure des chiots","Gulli","20h55","1.1%"
"09-09-2017","Ma vie sauvage","RMC","Unknown","1.0%"
"09-09-2017","Dr House","TF1 Séries Films","21h00","0.9%"
"09-09-2017","Babylone","Numéro 23","20h55","0.9%"
"09-09-2017","Une famille formidable","NRJ 12","20h55","0.9%"
"09-09-2017","Une erreur de jeunesse","Chérie 25","Unknown","0.5%"
"09-09-2017","Les secrets du volcan","France Ô","21h00","0.3%"
"10-09-2017","Bis","TF1","21h00","21.9%"
"10-09-2017","Les enquêtes de Murdoch","France 3","20h55","13%"
"10-09-2017","Un village presque parfait","France 2","21h05","12.4%"
"10-09-2017","Capital","M6","21h00","11.1%"
"10-09-2017","El Dorado","ARTE","20h55","6.6%"
"10-09-2017","Noix de coco : le fruit du paradis ?","France 5","20h50","2.7%"
"10-09-2017","Les experts : Miami","TMC","21h00","2.7%"
"10-09-2017","Léon","TFX","21h00","2.4%"
"10-09-2017","Lara Croft : Tomb Raider","C8","21h00","2.3%"
"10-09-2017","Lucifer","CSTAR","20h50","2%"
"10-09-2017","X-Men","6ter","21h00","1.6%"
"10-09-2017","Sahara","W9","21h00","1.6%"
"10-09-2017","Flyboys","NRJ 12","20h55","1.5%"
"10-09-2017","Black Storm","TF1 Séries Films","Unknown","1.4%"
"10-09-2017","New York Melody","France 4","20h55","1.3%"
"10-09-2017","Centurion","Numéro 23","20h55","1.3%"
"10-09-2017","Une femme d'honneur","Chérie 25","20h55","1.1%"
"10-09-2017","Navires de guerre *2016","RMC","Unknown","0.9%"
"10-09-2017","Rendez-vous en terre inconnue","France Ô","21h00","0.8%"
"10-09-2017","C'est pas sorcier","Gulli","20h55","0.6%"
"11-09-2017","La mante","TF1","21h00","20.1%"
"11-09-2017","L'amour est dans le pré","M6","21h00","19.7%"
"11-09-2017","Rizzoli & Isles","France 2","21h00","13.8%"
"11-09-2017","Appaloosa","France 3","20h55","9%"
"11-09-2017","Parker","W9","21h00","4.2%"
"11-09-2017","Fast & Furious 5","TMC","Unknown","3.8%"
"11-09-2017","La piscine","France 5","20h50","3.7%"
"11-09-2017","Matrix Reloaded","C8","21h00","3.6%"
"11-09-2017","Crimes","NRJ 12","20h55","2.5%"
"11-09-2017","Appels d'urgence","TFX","21h00","2.3%"
"11-09-2017","Et pour quelques dollars de plus","6ter","21h00","1.9%"
"11-09-2017","Une semaine sur deux (et la moitié des vacances scolaires)","Chérie 25","20h55","1.5%"
"11-09-2017","Americars","RMC","20h50","1.1%"
"11-09-2017","Montreux Comedy Festival","France 4","20h55","1.1%"
"11-09-2017","Révélations","Numéro 23","20h55","1%"
"11-09-2017","Dr House","TF1 Séries Films","21h00","1%"
"11-09-2017","Laissez faire les femmes !","ARTE","20h50","0.9%"
"11-09-2017","Toute la beauté du monde","France Ô","20h55","0.8%"
"11-09-2017","American Pickers, la brocante made in USA","CSTAR","Unknown","0.4%"
"11-09-2017","La caverne de la rose d'or","Gulli","20h55","0.3%"
"12-09-2017","La loi de Gloria","France 3","20h55","16.7%"
"12-09-2017","Conviction *2016","TF1","Unknown","14.6%"
"12-09-2017","Maison Ã  vendre","M6","21h00","12.2%"
"12-09-2017","Qui sera le prochain grand pâtissier ?","France 2","21h00","7.3%"
"12-09-2017","Mariage chez les Bodin's","C8","21h00","4.8%"
"12-09-2017","A la conquête de Titan","France 5","20h50","3.8%"
"12-09-2017","Madame Foresti","TMC","21h00","3.6%"
"12-09-2017","Super 8","France 4","20h55","3%"
"12-09-2017","Pompiers : leur vie en direct","TFX","21h00","2.3%"
"12-09-2017","Etat de choc","W9","21h00","2.2%"
"12-09-2017","Le premier cercle","NRJ 12","20h55","2%"
"12-09-2017","Jonah Hex","TF1 Séries Films","21h00","1.9%"
"12-09-2017","La guerre du renseignement","ARTE","20h50","1.7%"
"12-09-2017","La France des mystères","RMC","20h50","1.7%"
"12-09-2017","The Duchess","Chérie 25","20h55","1.7%"
"12-09-2017","Hawaii 5-0","6ter","21h00","1.6%"
"12-09-2017","Le triporteur de Belleville","Numéro 23","20h55","1.4%"
"12-09-2017","Legends of Tomorrow","CSTAR","Unknown","0.9%"
"12-09-2017","H","France Ô","21h00","0.7%"
"12-09-2017","La planète des singes","Gulli","Unknown","0.7%"
"13-09-2017","Alex Hugo","France 2","21h00","21.1%"
"13-09-2017","Esprits criminels","TF1","21h00","20%"
"13-09-2017","Cauchemar en cuisine","M6","21h00","13.2%"
"13-09-2017","Des racines et des ailes","France 3","21h00","8.8%"
"13-09-2017","Caprice","ARTE","20h55","4.3%"
"13-09-2017","90' Enquêtes","TMC","21h00","4.1%"
"13-09-2017","Logement, Ã  qui profite la crise ?","France 5","20h50","2.4%"
"13-09-2017","Enquêtes criminelles : le magazine des faits divers","W9","21h00","2.4%"
"13-09-2017","Section de recherches","TF1 Séries Films","21h00","2.1%"
"13-09-2017","Cash Island","C8","21h00","2%"
"13-09-2017","Top Cars","RMC","Unknown","1.6%"
"13-09-2017","Piégés","NRJ 12","20h55","1.6%"
"13-09-2017","S.W.A.T. : Firefight","CSTAR","Unknown","1.4%"
"13-09-2017","Yves Saint Laurent","France 4","20h55","1.3%"
"13-09-2017","Soeur Thérèse.com","Chérie 25","20h55","1.3%"
"13-09-2017","Les 30 histoires exceptionnelles","TFX","21h00","1.1%"
"13-09-2017","Père et maire","Gulli","20h55","1%"
"13-09-2017","La saison des amours","6ter","21h00","1%"
"13-09-2017","InvestigatiÃ´ns","France Ô","21h00","0.3%"
"13-09-2017","Il s'appelait Mandela","Numéro 23","20h55","0.3%"
"14-09-2017","Profilage","TF1","21h00","22.5%"
"14-09-2017","De toutes nos forces","France 3","20h55","9.7%"
"14-09-2017","Scorpion","M6","21h00","9.2%"
"14-09-2017","Envoyé spécial","France 2","21h00","8.6%"
"14-09-2017","Football","W9","Unknown","6.7%"
"14-09-2017","The Amazing Spider-Man : le destin d'un héros","TMC","21h00","4.4%"
